name,decisionDate
Mount Milligan Copper/Gold,1993-11-03
Meikle Wind Energy,2014-06-24
Morrison Copper/Gold,
NaiKun Offshore Wind Energy,2009-12-10
Murray River Coal,2015-10-01
Nahwitti Wind Farm,2011-12-21
Mt. Milligan Copper-Gold,2009-03-16
Nascall River Hydroelectric,2014-05-13
Mt. Polley Copper,1992-10-06
Nazko Lava Quarry Extension,1996-02-22
NorskeCanada's Crofton De-Inking Plant,2003-08-15
North Lakeside Well,2001-10-24
New Fraser River Crossing,2004-08-06
North Montney Mainline Pipeline,2017-01-18
North Thompson Emergency Water Intake,2014-06-25
Northeast British Columbia (NEBC) Expansion,2016-08-09
Nulki Hills Wind,
Orca Sand and Gravel,2005-07-14
Northern Rockies Secure Landfill,2009-03-31
Northwest Transmission Line,2011-02-23
PAC-RIM Pipeline,2014-06-11
Pacific Future Energy Refinery,
Pacific Trail Pipelines,2008-06-26
Nicomen Wind Energy,2016-05-18
Pacific NorthWest LNG,2014-11-25
Pacific Northern Gas Looping,
Peace Valley Oriented Strand Board,2002-01-14
Narrows Inlet Hydro,
Pembina Condensate Pipeline,2014-06-11
Pingston Creek Hydroelectric,1999-05-18
Port Alberni Generation,1999-12-10
Pattullo Bridge Replacement,
Peejay Secure Landfill,2008-09-18
Port Alberni Cogeneration,
Prince George Wood Residue Fired Cogeneration,2003-11-17
Prince Rupert Gas Transmission,2014-11-25
Prince Rupert LNG,2017-05-03
Port Mann/Highway 1,2008-06-12
Progress Energy Lily Dam,
Progress Town North Gas,2014-11-10
Progress Energy Town Dam,
Quality Wind,2010-07-09
Princeton Power,2012-02-03
Raven Underground Coal,2016-04-04
Raising of Sooke Reservoir Dam by One Metre,2003-05-21
Prosperity Gold-Copper,2010-01-14
Red Chris Copper and Gold Mine,2003-06-17
Red Mountain Gold Project,
Red Chris Porphyry Copper-Gold Mine,2005-08-24
Revelstoke Generating Station Unit 5,2007-05-30
Point Grey Tidal Marsh,2016-09-19
Red Mountain Underground Gold,
Red Willow Wind,
Revelstoke Generating Station Unit 6,
Ring Border Gas Plant Expansion,1998-01-14
Richmond Island Milltown Marina and Boatyard,2012-04-27
Roberts Bank Terminal 2,
Ruby Creek Molybdenum,2017-09-10
Rocky Creek Energy,2016-04-08
Royal Bay Evaluation,1999-07-19
Saturn 15-27 Sweet Gas Plant,2015-07-29
Ruddock Creek Mine,
Schaft Creek Mine,2016-03-22
Seabird Island,
Roman Coal Mine,2012-12-14
Sea-To-Sky Highway Upgrade,2004-06-04
Sechelt Carbonate,
Seven Mile Generating Station Unit 4,1996-04-25
Shovel Creek Waterpower,2012-08-17
Silverberry Secure Landfill,2002-07-10
Silvertip Silver/Lead/Zinc Mine,
Smithers Regional Airport Runway Expansion,2007-09-20
South Arm Jetty Tidal Marsh,2016-09-19
South Fraser Perimeter Road,2008-07-24
South Meager Geothermal,2016-06-24
Southern Crossing Pipeline,1999-05-17
Spanish Mountain Gold,
Squamish Groundwater Well,1999-03-31
Statlu Creek Waterpower,2014-05-28
Squamish Oceanfront Park Development,2010-12-08
Stave Falls Powerplant,1995-06-28
Stewart Bulk Terminals Wharf Expansion,2002-10-15
Steveston Island Tidal Marsh,2016-12-09
Stronsay Lead/Zinc,1992-12-16
Site C Clean Energy,2014-10-14
Sundance Wind,
Sukunka Coal Mine,
Swamp Point Aggregate Mine,2006-06-21
Sulphurets Gold/Silver,1993-04-05
Ryan River Hydro,
Taylor Straddle Plant,1997-10-14
Taiga Forest Products Lumber Treatment Facility,1997-09-30
Terrace Green Street Well,2007-06-14
Taylor Wind,
Sustut Copper,2016-03-07
Thunder Mountain Wind,2009-12-10
Towerbirch Expansion,2017-02-23
Tom MacKay Lake Waste Rock & Tailings,2000-07-21
Trans Mountain Expansion,2017-01-10
Trend Coal,2005-02-23
Terminal A Extension,2015-12-17
Tretheway Creek Waterpower,2012-08-17
Tulsequah Chief Mine,2002-12-12
Tsilhqot'in Power Development,2016-05-13
Trans Mountain Pipe Line Modification,1997-04-23
UBC Okanagan Geoexchange,2012-02-10
Tumbler Ridge Wind Energy,2017-03-27
Upper Harrison Water Power,2006-09-21
Tsawwassen Eelgrass,2016-09-19
Upper Lillooet Hydro,2013-01-08
Upper Pitt River Water Power,2016-05-18
Vancouver Airport Fuel Delivery,2013-12-11
Vancouver Convention Centre Expansion,2004-07-28
Telkwa Coal,
Vancouver Island Transmission Reinforcement,2007-02-12
Vancouver Island Cable,2016-05-02
Vintage Landing Resort and Wellness Village,2005-11-03
WGSI LNG Storage,1999-04-09
Vancouver Island Generation,2003-12-17
Waneta Generating Station Upgrade,1998-05-26
Upper Toba Valley Hydroelectric,2009-03-31
Wartenbe Wind Energy,2006-10-05
Waneta Hydroelectric Expansion,2007-11-13
West Stoddart Gas Processing Facility,1998-04-23
Wapiti Power Development,2007-06-07
Westcoast Connector Gas Transmission,2014-11-25
Westham Canoe Pass Tidal Marsh,2013-10-23
WesPac Tilbury Marine Jetty,
Willow Creek,1998-03-06
Whistler Nordic Centre,2005-04-05
Wildmare Wind Energy,2017-06-13
Wolverine Secure Landfill,2014-06-12
Younger NGL Plant Expansion,2015-10-26
Woodfibre LNG,2015-10-26
Wolverine Coal Mine,2005-01-13
